Preu;Zona;Superficie;Habitacions;Lavabos;Preu metre;Calefaccio;Aire acondicionat;Any construccio;Aparcament;Piscina;Ascensor;Planta;Consum;Venda/lloguer
399000;Can Palet de Vista Alegre;213;3;2;1873;Si;No;2000;Si;Si;No;_;G;Venda
140000;Cementiri Vell;77;3;1;1818;Si;No;1973;No;No;Si;_;G;Venda
139000;La Cogullada;63;2;1;2206;Si;No;1993;No;No;Si;_;G;Venda
139000;Egara;104;3;2;1337;No;No;_;No;No;Si;_;G;Venda
99000;La Maurina;98;2;1;1010;Si;Si;1957;No;No;No;_;E;Venda
118000;La Maurina;84;3;1;1405;Si;No;1973;No;No;No;_;D;Venda
106000;Ca nﾴAnglada;96;3;1;1104;No;No;_;No;No;No;_;G;Venda
267000;Ca n�Aurell;74;3;2;3608;Si;Si;_;Si;No;Si;_;A;Venda
259000;Can Roca;94;3;2;2755;Si;Si;2005;Si;No;Si;3;E;Venda
900000;Centre;271;5;4;3321;Si;Si;2019;Si;No;No;3;A;Venda
315000;Pere parres;145;4;2;2172;Si;Si;2008;Si;No;Si;_;G;Venda
169000;Ca nﾴAurell;90;3;1;1878;No;No;_;No;No;No;_;G;Venda
190000;Poblenou-Zona Esportiva;107;3;1;1776;Si;No;1996;Si;No;Si;_;G;Venda
136000;La Maurina;110;3;1;1236;No;No;1977;No;No;Si;_;G;Venda
185000;Can Palet;153;2;1;1209;No;No;_;No;No;No;_;_;Venda
89999;Ca nﾴAnglada;75;3;1;1200;No;No;1965;No;No;No;_;F;Venda
205000;Segle XX;87;3;2;2356;Si;Si;2020;No;No;Si;_;A;Venda
159000;Can Roca;81;3;1;1963;No;No;_;No;No;Si;_;G;Venda
225000;Centre;110;4;2;2045;Si;No;1973;Si;No;Si;5;C;Venda
159900;Ca n�Aurell;66;2;1;2423;Si;No;_;No;No;Si;_;E;Venda
81000;Ca n�Anglada;68;2;1;1191;Si;Si;1968;No;No;Si;_;G;Venda
115000;Ca n�Anglada;72;3;1;1597;Si;No;1971;No;No;No;_;E;Venda
149900;Poblenou-Zona Esportiva;95;1;1;1578;No;No;1970;No;No;No;_;G;Venda
185000;Can Palet;172;2;1;1076;No;No;_;No;No;No;_;G;Venda
470000;Pere parres;330;5;2;1424;Si;Si;1954;Si;Si;No;_;E;Venda
249900;Les Arenes-La Gr�pia;146;3;2;1712;Si;No;_;No;No;Si;_;E;Venda
189900;La Cogullada;94;3;2;2020;Si;Si;_;No;No;Si;_;E;Venda
169000;Can Palet;87;3;2;1943;Si;Si;2001;Si;No;Si;_;G;Venda
229000;Les Arenes-La Gr�pia;106;3;2;2160;Si;Si;2017;Si;No;Si;_;B;Venda
189900;Segle XX;73;2;1;2601;Si;No;2003;No;No;Si;_;D;Venda
176000;Sant Pere Nord;92;3;2;1913;Si;No;2022;Si;No;Si;3;G;Venda
119500;Sant Pere Nord;82;3;1;1457;Si;No;1970;No;No;Si;2;E;Venda
325000;Roc Blanc;170;4;1;1912;Si;Si;2022;Si;No;No;_;G;Venda
149000;Sant Pere;90;3;1;1656;Si;Si;1975;No;No;Si;1;D;Venda
219000;Centre;90;3;1;2433;Si;No;_;No;No;No;1;D;Venda
299000;Vallparad�s;133;3;2;2248;No;No;_;Si;No;Si;1;G;Venda
145000;Can Parellada;93;4;1;1559;No;No;1976;No;No;Si;_;G;Venda
262000;Ca n�Aurell;125;3;3;2096;Si;Si;2021;No;No;Si;_;B;Venda
249000;Ca n�Aurell;164;5;2;1518;Si;No;1942;No;No;No;1;D;Venda
175500;Can Roca;75;2;1;2340;Si;Si;_;Si;No;Si;_;G;Venda
525000;Centre;179;4;3;2933;Si;No;2022;Si;No;No;_;G;Venda
215000;Segle XX;111;3;2;1937;Si;Si;_;Si;No;Si;_;A;Venda
290000;Centre;123;4;2;2358;Si;Si;2000;No;No;Si;1;E;Venda
365100;Les Arenes-La Gr�pia;154;4;2;2371;Si;Si;_;Si;No;Si;_;_;Venda
87000;La Maurina;65;3;1;1338;No;No;1974;No;No;No;_;E;Venda
368000;Centre;191;3;2;1927;Si;No;1905;Si;No;No;_;G;Venda
169000;Vallparad�s;79;3;1;2139;No;No;1973;No;No;Si;3;G;Venda
133000;Can Jofresa;79;2;1;1684;Si;Si;2006;No;No;Si;3;G;Venda
179900;Torre-sana;70;2;1;2570;Si;Si;2003;Si;No;Si;2;G;Venda
180000;Les Arenes-La Gr�pia;109;3;2;1651;Si;Si;1997;Si;No;Si;1;G;Venda
230000;Vallparad�s;98;4;1;2347;Si;No;1979;No;No;Si;_;E;Venda
137000;Can Boada;95;3;1;1442;Si;No;1973;No;No;No;1;G;Venda
238200;Vallparad�s;86;3;2;2770;Si;Si;_;Si;No;Si;_;A;Venda
127500;Ca n�Anglada;49;2;1;2602;Si;No;2007;No;No;Si;1;G;Venda
176400;La Cogullada;70;3;2;2520;Si;No;1999;No;No;Si;_;E;Venda
155000;Egara;65;3;1;2385;Si;Si;1966;No;No;Si;4;G;Venda
187000;Ca n�Aurell;80;3;1;2338;Si;No;1961;No;No;Si;3;G;Venda
110000;La Maurina;58;3;1;1897;No;No;1960;No;No;No;_;E;Venda
195000;Torre-sana;141;4;2;1383;Si;No;2003;Si;No;No;_;E;Venda
189000;Sant Pere Nord;57;2;1;3316;Si;Si;_;Si;No;Si;3;G;Venda
159000;Ca n�Aurell;_;_;_;_;Si;No;2004;No;No;Si;_;E;Venda
95000;Ca nﾴAnglada;75;3;1;1267;No;No;_;No;No;No;1;G;Venda
348000;Sant Pere Nord;170;3;3;2047;Si;Si;2007;Si;No;No;_;D;Venda
158500;Can Palet;91;4;1;1742;Si;Si;1978;Si;No;Si;_;G;Venda
240000;Les Arenes-La Gr�pia;75;3;2;3200;Si;Si;2007;Si;No;Si;3;G;Venda
254900;Les Arenes-La Gr�pia;83;3;2;3071;Si;No;2003;Si;No;Si;3;E;Venda
139900;Can Jofresa;87;3;1;1608;No;No;1975;No;No;Si;4;E;Venda
384400;Poblenou-Zona Esportiva;169;3;2;2275;Si;No;1992;Si;No;No;2;D;Venda
190000;Can Palet;80;5;1;2375;No;No;_;No;No;No;_;G;Venda
224900;Cementiri Vell;60;2;1;3748;Si;Si;2007;No;No;Si;_;C;Venda
380000;Segle XX;250;3;5;1520;Si;No;_;Si;No;No;_;G;Venda
194000;Can Roca;90;3;2;2156;Si;Si;2006;Si;No;Si;_;D;Venda
192000;Sant Pere Nord;116;3;2;1655;Si;Si;1971;No;No;No;2;G;Venda
140990;Poblenou-Zona Esportiva;106;3;2;1330;Si;No;1966;No;No;No;_;E;Venda
536000;Sant Pere;282;5;4;1901;Si;No;1990;Si;No;No;_;F;Venda
145000;Ca n�Aurell;50;1;1;2900;Si;Si;_;Si;No;No;_;E;Venda
311000;Can Palet;110;4;2;2827;Si;Si;_;Si;No;No;_;G;Venda
148000;Egara;68;3;1;2176;No;No;_;No;No;No;_;F;Venda
315000;La Maurina;354;4;3;890;Si;Si;1985;Si;No;No;_;F;Venda
312000;Les Martines;345;4;1;904;No;No;1970;Si;Si;No;_;E;Venda
168000;La Cogullada;_;_;_;_;Si;No;1985;No;No;Si;_;G;Venda
99900;Ca n�Anglada;75;3;3;1332;No;No;1974;No;No;Si;_;G;Venda
237000;La Maurina;185;3;2;1281;Si;Si;1970;Si;No;No;_;E;Venda
81000;Egara;57;3;1;1421;Si;No;1965;No;No;No;_;F;Venda
125000;Can Palet;80;4;1;1563;Si;No;1978;No;No;Si;_;G;Venda
245000;Ca n�Aurell;99;3;2;2475;Si;Si;2020;Si;No;Si;2;A;Venda
239000;Can Boada;210;3;1;1138;Si;No;1960;Si;No;No;_;E;Venda
565000;Les Martines;238;3;2;2374;Si;No;_;No;Si;No;_;C;Venda
