Preu,Zona,Superficie,Habitacions,Lavabos,Preu metre,Calefaccio,Aire acondicionat,Any construccio,Aparcament,Piscina,Ascensor,Planta,Consum,Venda/lloguer,Preu anunci,Preu pred,Status
211000,Poblenou-Zona Esportiva,111.0,3.0,2.0,1901.0,1,0,1990.0,1,No,1,1.0,G,Venda,211000,227462,xollo
157000,Can Palet de Vista Alegre,81.0,2.0,1.0,1938.0,0,0,1978.0,1,No,0,1.0,F,Venda,157000,157664,xollo
120000,Can Roca,48.0,1.0,1.0,2500.0,1,0,2004.0,0,No,1,1.0,C,Venda,120000,131812,xollo
149000,Ca n�Aurell,104.0,4.0,2.0,1433.0,0,0,1975.0,1,No,1,6.0,E,Venda,149000,227462,xollo
120000,Egara,70.0,3.0,1.0,1714.0,0,0,1965.0,0,No,1,1.0,G,Venda,120000,131812,xollo
145000,Ca n�Anglada,104.0,4.0,1.0,1394.0,1,0,1974.0,0,No,0,1.0,E,Venda,145000,154078,xollo
336000,Centre,210.0,3.0,3.0,1600.0,1,1,1910.0,1,No,0,3.0,E,Venda,336000,427666,xollo
157000,Sant Pere Nord,77.0,2.0,1.0,2039.0,1,1,2008.0,1,No,1,2.0,F,Venda,157000,161000,xollo
59000,Montserrat,56.0,3.0,1.0,1054.0,0,0,1956.0,0,No,0,5.0,G,Venda,59000,103259,xollo
200900,Cementiri Vell,92.0,3.0,2.0,2184.0,1,0,1994.0,1,No,1,2.0,F,Venda,200900,227462,xollo
335000,Les Arenes-La Gr�pia,263.0,6.0,3.0,1274.0,1,0,1995.0,1,No,0,2.0,G,Venda,335000,427666,xollo
262500,Ca n�Aurell,82.0,3.0,2.0,3201.0,1,1,2022.0,1,No,1,1.0,G,Venda,262500,262636,xollo
248000,Ca n�Aurell,79.0,3.0,2.0,3139.0,1,1,2022.0,1,No,1,2.0,G,Venda,248000,262636,xollo
250000,Ca n�Aurell,79.0,3.0,2.0,3165.0,1,1,2022.0,1,No,1,3.0,G,Venda,250000,262636,xollo
250000,Ca n�Aurell,82.0,3.0,2.0,3049.0,1,1,2022.0,1,No,1,3.0,G,Venda,250000,262636,xollo
148000,Sant Pere Nord,92.0,3.0,1.0,1609.0,1,0,1965.0,0,No,1,3.0,G,Venda,148000,154078,xollo
152000,Ca n�Aurell,47.0,1.0,1.0,3234.0,1,1,2022.0,1,No,1,5.0,G,Venda,152000,161000,xollo
270000,Pere parres,120.0,4.0,2.0,2250.0,1,0,1990.0,1,No,1,6.0,G,Venda,270000,270525,xollo
149900,Ca n�Anglada,110.0,2.0,2.0,1363.0,1,0,2005.0,0,No,1,3.0,G,Venda,149900,192063,xollo
140000,Ca n�Aurell,45.0,1.0,1.0,3111.0,1,1,2022.0,1,No,1,1.0,G,Venda,140000,161000,xollo
194000,Can Roca,93.0,3.0,2.0,2086.0,1,1,2006.0,1,No,1,3.0,G,Venda,194000,227462,xollo
132900,Sant Pere Nord,82.0,4.0,1.0,1621.0,0,0,1970.0,0,No,0,1.0,G,Venda,132900,136656,xollo
183500,Can Roca,79.0,3.0,2.0,2323.0,1,1,1996.0,1,No,1,2.0,G,Venda,183500,227462,xollo
229000,Can Palet,250.0,3.0,1.0,916.0,1,0,1960.0,0,No,0,1.0,G,Venda,229000,270525,xollo
179000,Pere parres,90.0,4.0,2.0,1989.0,1,0,1979.0,0,No,1,1.0,G,Venda,179000,192063,xollo
140000,Can Palet,82.0,3.0,1.0,1707.0,1,0,1992.0,1,No,1,2.0,E,Venda,140000,157664,xollo
164900,Sant Pere Nord,105.0,3.0,2.0,1570.0,1,0,2002.0,0,No,1,3.0,G,Venda,164900,192063,xollo
99000,Can Palet,87.0,3.0,1.0,1138.0,0,0,1978.0,0,No,1,1.0,E,Venda,99000,136656,xollo
460000,Poblenou-Zona Esportiva,484.0,4.0,4.0,950.0,1,1,1998.0,1,Si,1,3.0,C,Venda,460000,471528,xollo
106000,Ca n�Anglada,53.0,2.0,1.0,2000.0,1,0,2008.0,0,No,1,2.0,E,Venda,106000,131812,xollo
148000,Can Boada,78.0,3.0,2.0,1897.0,1,0,2001.0,0,No,1,3.0,G,Venda,148000,192063,xollo
136200,Ca n�Aurell,60.0,3.0,1.0,2270.0,1,1,1991.0,1,No,0,3.0,E,Venda,136200,157664,xollo
178000,Can Palet,75.0,2.0,2.0,2373.0,1,1,2005.0,1,No,1,3.0,E,Venda,178000,227462,xollo
97000,Ca n�Anglada,82.0,3.0,1.0,1183.0,1,1,1971.0,0,No,0,1.0,G,Venda,97000,154078,xollo
136000,Cementiri Vell,94.0,3.0,1.0,1447.0,1,1,1970.0,0,No,1,1.0,E,Venda,136000,154078,xollo
580000,Centre,423.0,5.0,3.0,1371.0,1,0,1914.0,0,No,0,3.0,E,Venda,580000,639750,xollo
